,RegionName,StateName,Month,Median Sale Price
52809,San Francisco County,California,2018-09,1354900.0
52819,San Mateo County,California,2018-09,1297900.0
48995,Santa Clara County,California,2018-05,1183000.0
49205,Marin County,California,2018-05,1149200.0
24506,New York County,New York,2016-03,1088200.0
41426,Dukes County,Massachusetts,2017-08,935500.0
53910,Santa Cruz County,California,2018-10,807300.0
50884,Alameda County,California,2018-07,806500.0
54359,Eagle County,Colorado,2018-10,729700.0
47104,Orange County,California,2018-03,710800.0
52183,Napa County,California,2018-08,708100.0
48158,Sonoma County,California,2018-04,651800.0
49962,Westchester County,New York,2018-06,646400.0
39703,Monterey County,California,2017-07,608100.0
54666,Contra Costa County,California,2018-11,604400.0
48993,King County,Washington,2018-05,601900.0
47355,Arlington County,Virginia,2018-03,600000.0
53748,Ventura County,California,2018-10,597100.0
52958,San Luis Obispo County,California,2018-09,594800.0
54702,Suffolk County,Massachusetts,2018-11,594200.0
