,RegionName,StateName,Month,Sale to List Ratio
20289,San Francisco County,CA,2015-05,1.1686143572621035
69870,Benton County,WA,2018-08,1.142615219721329
64480,Santa Clara County,CA,2018-04,1.134173461823573
64545,San Mateo County,CA,2018-04,1.1264080100125156
62838,Box Elder County,UT,2018-02,1.1148
74540,Los Alamos County,NM,2018-11,1.1111
65080,Laramie County,WY,2018-04,1.0976928704740576
22154,Cascade County,MT,2015-06,1.096294724075197
64356,Elmore County,ID,2018-03,1.0942839274546592
71486,Coryell County,TX,2018-09,1.0908166409861324
67937,Campbell County,WY,2018-06,1.0898638910505838
19399,Kootenai County,ID,2015-04,1.0847435960660945
64485,Alameda County,CA,2018-04,1.0840407224152369
12848,Davis County,UT,2014-11,1.083806937569432
21693,Bell County,TX,2015-06,1.0830214285714286
52098,Weber County,UT,2017-06,1.069345902270104
54035,Medina County,TX,2017-07,1.0669600000000001
14431,Douglas County,KS,2014-12,1.061675980999587
68914,Bannock County,ID,2018-07,1.0578343434343431
10637,La Porte County,IN,2014-09,1.056673988847321
