,RegionName,State,StateCodeFIPS,Month,Price per ft2
51715,New York County,NY,36,2016-01,1873.98909871058
81694,Nantucket County,MA,25,2017-02,1169.19393455706
128808,Pitkin County,CO,8,2018-12,1152.46949328138
116380,San Francisco County,CA,6,2018-07,1061.51303088803
122858,San Mateo County,CA,6,2018-10,890.52822835475
128654,Teton County,WY,56,2018-12,859.3561610802991
129160,San Miguel County,CO,8,2018-12,778.7433155080209
88320,Kings County,NY,36,2017-06,769.1692307692309
112024,Santa Clara County,CA,6,2018-05,712.17824458207
81450,Dukes County,MA,25,2017-02,681.8958025659709
120877,Marin County,CA,6,2018-09,665.064361850152
105624,Suffolk County,MA,25,2018-02,654.401742325471
104549,Summit County,UT,49,2018-01,645.94728990552
127475,Maui County,HI,15,2018-12,642.164781906301
106438,Eagle County,CO,8,2018-02,587.457128858403
123519,Kauai County,HI,15,2018-10,576.119402985075
105587,Honolulu County,HI,15,2018-02,570.927901162413
86314,Santa Barbara County,CA,6,2017-05,563.1751996242369
116563,Santa Cruz County,CA,6,2018-07,561.782661782662
114265,District of Columbia,DC,11,2018-06,554.312114989733
