,RegionName,State,StateCodeFIPS,MunicipalCodeFIPS,Month,Price per ft2,FIPS
51715,New York County,NY,36,061,2016-01,1873.98909871058,36061
81694,Nantucket County,MA,25,019,2017-02,1169.19393455706,25019
128808,Pitkin County,CO,8,097,2018-12,1152.46949328138,8097
116380,San Francisco County,CA,6,075,2018-07,1061.51303088803,6075
122858,San Mateo County,CA,6,081,2018-10,890.52822835475,6081
128654,Teton County,WY,56,039,2018-12,859.3561610802991,56039
129160,San Miguel County,CO,8,113,2018-12,778.7433155080209,8113
88320,Kings County,NY,36,047,2017-06,769.1692307692309,36047
112024,Santa Clara County,CA,6,085,2018-05,712.17824458207,6085
81450,Dukes County,MA,25,007,2017-02,681.8958025659709,25007
120877,Marin County,CA,6,041,2018-09,665.064361850152,6041
105624,Suffolk County,MA,25,025,2018-02,654.401742325471,25025
104549,Summit County,UT,49,043,2018-01,645.94728990552,49043
127475,Maui County,HI,15,009,2018-12,642.164781906301,15009
106438,Eagle County,CO,8,037,2018-02,587.457128858403,8037
123519,Kauai County,HI,15,007,2018-10,576.119402985075,15007
105587,Honolulu County,HI,15,003,2018-02,570.927901162413,15003
86314,Santa Barbara County,CA,6,083,2017-05,563.1751996242369,6083
116563,Santa Cruz County,CA,6,087,2018-07,561.782661782662,6087
114265,District of Columbia,DC,11,001,2018-06,554.312114989733,11001
