,Unnamed: 0,county,StateName,Month,Sale to List Ratio,FIPS,State,# Deaths,Age-Adjusted Mortality,# Deaths.1,Child Mortality Rate,# Deaths.2,Infant Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,% Insufficient Sleep,# Uninsured,% Uninsured,# Uninsured.1,% Uninsured.1,Costs,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,% Free or Reduced Lunch,Segregation index,Segregation Index,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
0,20289,San Francisco,CA,2015-05,1.168614357,6075,California,6833,239,156,33.8,182,3,8,9,8,13506,1746,134520,16,2592,0,546,21,12,29,42905,7,3074,3,7902,82,1227:01:00,9,101873,57,59,36,870887,13.6,14.8,43915,5,6700,0.8,308554,35.4,3854,0.4,132538,15.2,356530,40.9,100414,12.4,12,12.7,49.1,0,0
9,69870,Benton,WA,2018-08,1.14261522,53005,Washington,1778,284,88,43.5,86,5,11,11,9,100,65,20870,11,7739,4,89,16,7,31,10528,9,1596,3,9063,90,1107:01:00,16,63474,49,54,29,193686,26.8,14.1,2658,1.4,2388,1.2,6193,3.2,442,0.2,41456,21.4,137590,71,6836,3.9,3.4,4.4,49.9,18518,10.6
10,64480,Santa Clara,CA,2018-04,1.134173462,6085,California,11627,195,491,28.2,527,3,8,8,8,2948,185,196180,11,17684,1,425,7,5,30,89399,7,10594,2,8134,57,1759:01:00,10,110843,38,42,36,1919402,22.6,12.8,45299,2.4,24169,1.3,700637,36.5,8924,0.5,497340,25.9,620294,32.3,171519,9.7,,,49.5,19307,1.1
11,64545,San Mateo,CA,2018-04,1.12640801,6081,California,4893,186,169,26.1,186,3,8,9,9,1473,229,73640,10,7902,1,187,8,5,30,33083,7,4501,3,7473,36,2812:01:00,10,107075,33,56,37,764797,21.1,15.2,17769,2.3,6380,0.8,220694,28.9,11914,1.6,189309,24.8,304305,39.8,57020,8,,,50.7,13586,1.9
12,62838,Box Elder,UT,2018-02,1.1148,49003,Utah,473,321,40,59.2,32,5,10,11,9,19,48,6420,13,3263,7,38,24,10,29,3133,11,1090,6,8339,24,4088:01:00,15,57875,38,,28,53139,32.2,12.6,183,0.3,586,1.1,489,0.9,113,0.2,4883,9.2,46398,87.3,436,0.9,0.4,1.4,49.5,15542,31.1
13,74540,Los Alamos,NM,2018-11,1.1111,35028,New Mexico,115,174,,,,,8,9,7,,,2700,15,843,5,,,10,27,381,4,89,2,6854,105,955:01:00,,114670,12,,11,18147,23,17.3,148,0.8,280,1.5,1096,6,22,0.1,3242,17.9,13167,72.6,318,1.9,0.5,3.2,49.3,2018,11.2
14,65080,Laramie,WY,2018-04,1.09769287,56021,Wyoming,1154,360,48,52.7,55,6,10,11,10,88,110,10510,11,9623,10,47,16,8,32,7983,14,1398,6,8820,138,727:01:00,12,61124,43,42,25,98136,23.4,15.1,2553,2.6,1204,1.2,1261,1.3,188,0.2,14356,14.6,77171,78.6,759,0.8,0.5,1.2,49.3,18150,19.8
15,22154,Cascade,MT,2015-06,1.096294724,30013,Montana,1082,378,37,50,47,6,11,11,9,30,44,10970,13,7644,9,21,9,9,30,7865,16,1181,6,8295,117,852:01:00,14,45569,52,61,26,81755,22.4,17.9,1163,1.4,3875,4.7,812,1,97,0.1,3485,4.3,70044,85.7,93,0.1,0,0.3,49.4,16120,19.8
17,64356,Elmore,ID,2018-03,1.094283927,16039,Idaho,292,373,16,58.9,,,12,12,9,11,53,3800,15,3514,13,,,5,30,2594,17,389,6,8402,92,1084:01:00,22,45003,53,49,18,26018,25.5,12.8,769,3,431,1.7,877,3.4,103,0.4,4261,16.4,19075,73.3,855,3.6,2.2,4.9,47.7,7269,26.9
18,71486,Coryell,TX,2018-09,1.090816641,48099,Texas,768,395,52,70,50,7,11,11,10,252,409,15290,20,12895,17,17,8,4,33,6485,17,1315,7,10556,42,2409:01:00,18,50122,55,37,31,74686,23.7,9.8,11975,16,890,1.2,1602,2.1,656,0.9,13426,18,44121,59.1,1264,1.8,1.3,2.3,50.5,14643,19.4
