FIPS,State,County,% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% Smokers,% Obese,Food Environment Index,% Physically Inactive,% With Access,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,Chlamydia Rate,Teen Birth Rate,# Uninsured,% Uninsured,# Primary Care Physicians,PCP Rate,PCP Ratio,# Dentists,Dentist Rate,Dentist Ratio,# Mental Health Providers,MHP Rate,MHP Ratio,# Medicare Enrollees,Preventable Hosp. Rate,# Diabetics,% Receiving HbA1c,# Medicare Enrollees,% Mammography,Cohort Size,Graduation Rate,# Some College,Population,% Some College,# Unemployed,Labor Force,% Unemployed,% Children in Poverty,80th Percentile Income,20th Percentile Income,Income Ratio,# Single-Parent Households,# Households,% Single-Parent Households,# Households with Severe Problems,% Severe Housing Problems,% Drive Alone,% Long Commute - Drives Alone,
01001,Alabama,Autauga,18,4.2,4.3,9,19,36,7.1,31,71,17,15,56,27,341,28,4431,9,25,45,2214:1,18,32,3079:1,7,13,7917:1,3834,82,711,84,453,62.7,706,90,8867,14315,61.9,1352,25649,5.3,19,101520,23134,4.4,3368,13763,24,3090,15,87,41,
01003,Alabama,Baldwin,18,4.1,4.2,8,17,29,7.9,25,69,17,48,158,30,339,32,18751,12,148,73,1376:1,103,49,2025:1,186,89,1121:1,18797,46,2615,83,2186,66.0,2236,85,30196,47361,63.8,4870,89931,5.4,18,102624,22306,4.6,11348,43965,26,10455,14,85,40,
01005,Alabama,Barbour,26,5.1,4.6,12,22,44,5.5,31,53,13,10,28,36,558,50,2482,13,11,42,2408:1,9,35,2885:1,2,8,12983:1,2433,58,525,89,330,63.0,245,86,2760,6948,39.7,718,8302,8.6,40,74150,12650,5.9,3212,5705,56,1395,15,83,35,
01007,Alabama,Bibb,20,4.4,4.3,11,20,38,7.6,38,49,16,8,29,28,302,47,2027,12,12,53,1882:1,5,22,4529:1,2,9,11322:1,1460,93,333,82,199,61.3,262,85,3068,6158,49.8,569,8573,6.6,28,79882,18893,4.2,1479,4706,31,875,12,85,49,
01009,Alabama,Blount,21,4.5,4.7,8,20,36,8.5,29,32,15,11,55,20,114,40,6609,14,12,21,4806:1,11,19,5246:1,5,9,11541:1,4188,58,705,88,433,59.6,720,91,7551,14018,53.9,1354,24525,5.5,19,83944,20634,4.1,3691,13523,27,2315,11,86,60,
01011,Alabama,Bullock,29,5.2,4.8,15,23,40,4.5,30,22,13,16,24,67,734,66,1080,15,3,28,3565:1,2,19,5181:1,1,10,10362:1,890,67,212,86,110,60.0,121,88,969,2874,33.7,345,4811,7.2,46,63780,10548,6.0,1632,2269,72,675,18,76,38,
01013,Alabama,Butler,27,5.1,5.1,12,22,36,6.5,34,46,13,11,40,28,828,43,1998,12,7,35,2879:1,6,30,3333:1,5,25,4000:1,2338,93,539,81,271,62.4,235,83,2060,4879,42.2,651,9132,7.1,37,73025,14452,5.1,2392,4699,51,1225,15,85,32,
01015,Alabama,Calhoun,20,4.3,4.5,9,20,36,6.8,33,48,15,16,70,23,588,40,10764,11,75,65,1542:1,69,60,1661:1,108,94,1061:1,12611,73,2488,81,1559,56.9,1316,92,16341,28798,56.7,3067,45794,6.7,26,82414,16952,4.9,9736,25367,38,6935,15,85,29,
01017,Alabama,Chambers,25,5.0,4.9,12,22,38,6.1,33,63,14,11,49,22,792,55,3662,13,16,47,2133:1,8,24,4230:1,1,3,33843:1,4010,62,888,82,512,57.2,337,85,3720,8019,46.4,839,15134,5.5,33,73783,15692,4.7,3423,7177,48,2560,18,88,33,
01019,Alabama,Cherokee,19,4.3,4.7,9,19,36,8.2,36,36,15,10,55,18,169,45,2355,12,10,39,2586:1,4,16,6431:1,5,19,5145:1,2450,77,554,89,303,63.4,280,88,3065,5516,55.6,582,11163,5.2,28,79412,17112,4.6,1694,5255,32,1850,16,85,46,
01021,Alabama,Chilton,21,4.7,4.6,9,20,36,8.2,30,46,15,16,79,20,307,51,5603,15,8,18,5493:1,11,25,3995:1,17,39,2585:1,2543,65,457,89,300,64.0,517,86,4580,11708,39.1,1076,19153,5.6,26,84217,17180,4.9,3334,10411,32,2365,15,83,48,
01023,Alabama,Choctaw,24,4.7,4.8,11,19,40,6.2,33,27,13,9,21,43,375,34,1219,12,5,38,2634:1,6,46,2166:1,,,,1743,65,425,84,232,54.3,124,88,1557,2795,55.7,382,4300,8.9,33,74809,13110,5.7,1182,2743,43,745,13,85,46,
01025,Alabama,Clarke,28,5.0,4.8,13,21,38,5.2,29,48,13,10,33,30,633,41,2505,13,14,57,1763:1,7,29,3485:1,14,57,1742:1,2482,63,508,81,283,61.1,380,93,2200,5645,39.0,893,8011,11.1,39,85299,9695,8.8,1938,5493,35,1275,13,84,35,
01027,Alabama,Clay,21,4.5,4.6,10,19,38,7.8,32,46,15,2,11,18,288,43,1542,14,4,30,3389:1,2,15,6746:1,1,7,13492:1,1577,57,275,88,200,56.0,154,93,1312,2970,44.2,342,5558,6.2,28,72450,16588,4.4,1057,2884,37,910,16,88,38,
01029,Alabama,Cleburne,18,4.4,4.6,9,20,35,8.1,32,46,16,7,28,25,252,45,1465,12,4,27,3755:1,1,7,14924:1,6,40,2487:1,1583,68,323,83,182,49.5,201,98,1663,3563,46.7,355,5831,6.1,25,73032,15020,4.9,769,3473,22,755,13,82,50,
01031,Alabama,Coffee,20,4.5,4.6,9,18,34,7.5,30,45,16,15,47,32,468,31,5077,12,29,57,1766:1,17,33,3013:1,28,55,1830:1,5236,53,1013,88,626,63.1,752,96,8167,13294,61.4,1235,20402,6.1,21,98372,19622,5.0,4635,12094,38,2675,14,86,23,
01033,Alabama,Colbert,20,4.3,4.5,10,18,35,7.2,31,65,16,6,69,9,473,39,4651,11,34,63,1599:1,23,42,2357:1,14,26,3873:1,6339,75,1438,87,765,68.1,627,89,7045,13031,54.1,1662,23707,7.0,25,85487,17063,5.0,4119,11687,35,3525,16,90,26,
01035,Alabama,Conecuh,29,5.6,5.3,13,23,38,5.1,31,37,11,9,34,26,553,46,1457,15,5,39,2534:1,2,16,6198:1,8,65,1549:1,1455,140,346,80,174,66.1,91,83,1021,2634,38.8,396,4593,8.6,44,60119,11231,5.4,1309,2802,47,945,19,93,39,
01037,Alabama,Coosa,24,4.8,4.7,13,21,40,6.6,30,11,14,4,27,15,441,44,1138,13,,,,,,,1,9,10581:1,1223,72,238,86,161,59.0,90,83,1109,2497,44.4,273,4444,6.1,29,61516,14579,4.2,706,1992,35,795,18,83,40,
