FIPS,State,County,# Deaths,Age-Adjusted Mortality,# Deaths,Child Mortality Rate,# Deaths,Infant Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,% Insufficient Sleep,# Uninsured,% Uninsured,# Uninsured,% Uninsured,Costs,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,% Free or Reduced Lunch,Segregation index,Segregation Index,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
01001,Alabama,Autauga,827,450,31,56.2,34,8,13,13,12,103,226,7680,14,6544,12,17,10,5.0,36,4102,12,371,3,10674,29,3464:1,15,54487,48,26,24,55416,24.4,14.7,10556,19.0,269,0.5,632,1.1,56,0.1,1490,2.7,41562,75.0,432,0.8,0.5,1.2,51.3,22921,42.0,
01003,Alabama,Baldwin,2753,351,85,47.7,85,6,13,13,11,282,164,25350,13,9887,5,113,18,10.0,33,17437,15,1523,3,9537,44,2292:1,15,56460,46,44,31,208563,21.7,19.7,18860,9.0,1608,0.8,2242,1.1,124,0.1,9211,4.4,173529,83.2,1540,0.8,0.5,1.1,51.5,77060,42.3,
01005,Alabama,Barbour,418,434,15,66.6,,,16,15,18,97,436,6290,23,2949,11,,,4.0,39,2289,17,209,4,9791,27,3709:1,31,32884,66,26,22,25965,21.1,18.0,12337,47.5,164,0.6,117,0.5,45,0.2,1094,4.2,12061,46.5,382,1.5,0.8,2.2,46.9,18613,67.8,
01007,Alabama,Bibb,408,529,22,116.3,25,15,13,13,15,37,192,3650,16,596,3,15,22,8.0,38,1890,15,151,3,10756,75,1332:1,25,43079,61,43,42,22643,20.8,15.4,4895,21.6,86,0.4,45,0.2,27,0.1,566,2.5,16850,74.4,96,0.4,0.0,1.0,46.4,15663,68.4,
01009,Alabama,Blount,996,480,30,55.4,25,5,14,14,14,46,95,6510,11,1651,3,37,21,8.0,36,6040,18,624,4,10326,12,8243:1,15,47213,55,40,24,57704,23.2,18.0,828,1.4,362,0.6,153,0.3,65,0.1,5233,9.1,50472,87.5,1018,1.9,1.3,2.4,50.6,51562,90.0,
01011,Alabama,Bullock,209,582,12,133.9,,,17,15,20,61,691,2610,24,2155,20,,,5.0,45,1015,19,73,3,10314,77,1295:1,40,34278,67,20,19,10362,21.3,16.3,7178,69.3,94,0.9,27,0.3,76,0.7,807,7.8,2231,21.5,95,1.0,0.0,2.2,46.0,5607,51.4,
01013,Alabama,Butler,422,603,19,100.2,,,16,15,18,45,268,4480,22,613,3,,,5.0,42,1876,16,134,3,10176,55,1818:1,21,35409,73,30,29,19998,23.6,19.0,8820,44.1,76,0.4,215,1.1,10,0.1,262,1.3,10442,52.2,166,0.9,0.1,1.7,53.4,14921,71.2,
01015,Alabama,Calhoun,2286,564,79,77.3,82,9,13,14,16,206,211,20280,17,10883,9,54,16,6.0,41,10078,15,762,3,10901,51,1976:1,19,41778,59,47,42,114611,21.8,16.9,23764,20.7,596,0.5,1054,0.9,113,0.1,4100,3.6,83235,72.6,776,0.7,0.4,1.0,51.9,39955,33.7,
01017,Alabama,Chambers,688,529,17,58.6,20,7,15,15,16,106,367,6920,20,3534,10,,,6.0,37,3463,17,221,3,9257,15,6769:1,26,39530,71,29,30,33843,21.2,19.1,13317,39.3,100,0.3,367,1.1,21,0.1,765,2.3,18967,56.0,114,0.4,0.0,0.7,52.0,16816,49.1,
01019,Alabama,Cherokee,571,546,,,,,13,14,13,20,90,3630,14,57,0,12,15,8.0,35,2201,15,169,3,11470,47,2144:1,,41456,63,26,20,25725,19.8,22.0,1104,4.3,162,0.6,66,0.3,8,0.0,413,1.6,23588,91.7,15,0.1,0.0,0.5,50.4,22282,85.7,
01021,Alabama,Chilton,792,516,24,56.5,27,7,14,14,14,36,100,5930,14,637,1,16,12,9.0,35,5122,19,524,5,10515,9,10985:1,20,44188,61,36,30,43941,24.0,16.1,4363,9.9,226,0.5,209,0.5,77,0.2,3341,7.6,35399,80.6,1002,2.4,1.6,3.3,50.8,37858,86.7,
01023,Alabama,Choctaw,260,522,,,,,15,14,17,25,220,2850,21,1010,7,,,5.0,38,1126,15,104,4,11241,31,3248:1,34,32691,57,37,36,12993,20.3,21.8,5382,41.4,28,0.2,20,0.2,1,0.0,125,1.0,7357,56.6,0,0.0,,,52.4,13859,100.0,
01025,Alabama,Clarke,425,464,15,67.5,,,16,15,17,34,162,6200,25,2882,11,,,5.0,41,2346,16,179,3,9935,49,2033:1,29,34061,56,14,13,24392,21.9,19.0,10733,44.0,111,0.5,122,0.5,5,0.0,348,1.4,12879,52.8,56,0.2,,,52.7,19628,76.0,
01027,Alabama,Clay,279,531,,,,,14,14,14,22,191,2030,15,324,2,,,6.0,39,1420,18,135,4,9782,44,2249:1,29,38512,62,22,21,13492,20.8,20.7,1877,13.9,73,0.5,33,0.2,0,0.0,411,3.0,10851,80.4,68,0.5,0.0,1.6,51.0,13932,100.0,
01029,Alabama,Cleburne,340,592,,,,,13,14,13,14,111,2020,14,310,2,10,22,8.0,34,1342,15,134,4,11134,20,4975:1,,43483,58,50,37,14924,23.1,18.8,461,3.1,65,0.4,27,0.2,12,0.1,366,2.5,13842,92.7,115,0.8,0.0,1.7,50.3,14972,100.0,
01031,Alabama,Coffee,734,409,27,55.8,32,7,14,13,16,61,143,7700,15,2987,6,12,8,5.0,37,4667,15,459,4,9856,57,1766:1,17,48632,47,35,26,51226,23.7,16.4,8825,17.2,720,1.4,782,1.5,216,0.4,3570,7.0,36193,70.7,716,1.5,0.9,2.1,50.6,23573,47.2,
01033,Alabama,Colbert,1026,504,37,78.9,39,9,13,13,17,43,93,9040,17,3566,7,14,9,5.0,37,4318,13,372,3,10879,122,821:1,18,46572,50,27,21,54216,21.2,19.2,8624,15.9,352,0.6,303,0.6,28,0.1,1341,2.5,42714,78.8,104,0.2,0.0,0.5,51.8,23891,43.9,
01035,Alabama,Conecuh,272,549,,,,,18,17,18,28,262,3140,24,1750,13,,,9.0,42,1371,19,96,3,10935,16,6198:1,36,29758,61,22,19,12395,21.1,21.5,5739,46.3,48,0.4,22,0.2,4,0.0,248,2.0,6193,50.0,0,0.0,0.0,0.7,51.9,10708,80.9,
01037,Alabama,Coosa,228,521,,,,,15,14,16,14,150,1950,18,1168,10,,,6.0,37,1065,16,81,4,10704,9,10581:1,,36441,75,58,58,10581,17.5,19.9,3233,30.6,65,0.6,14,0.1,17,0.2,233,2.2,6938,65.6,122,1.2,,,49.3,11539,100.0,
