RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
3101,Los Angeles County,California,1,463200,449700,433e3,421400,405300,389300,372300,360400,349600,337200,322100,311800,305100,300200,296300,300100,307300,314500,321500,326400,330200,334100,337800,339500,337600,335e3,338800,336600,337700,331600,336800,334800,337e3,334800,331600,330400,326200,328800,327300,323200,320400,316100,316600,31e4,310300,309400,310400,310200,309800,314500,317100,320500,324800,330200,339600,346400,355400,363200,365700,367800,373900,388900,402900,413200,419500,423600,424300,427200,427100,427e3,421900,423700,424700,429600,430900,430400,432600,432800,435e3,436400,438200,442200,445800,452200,456500,458500,458500,460900,461900,465200,466700,468300,467100,474100,476400,480600,478e3,484800,491700,494600,494500,494500,496300,494e3,496500,496e3,501900,496800,499300,499300,506900,510300,514200,517400,523800,532900,544600,552400,558500,563900,568e3,568600,573400,577300,579e3,578300,,,,,,
139,Cook County,Illinois,2,,,,,,,,,,,,,,,,197800,197800,200400,204100,206e3,211100,211400,210500,204800,203500,203200,201300,199600,193600,187900,179300,179400,184900,189900,188900,187800,182500,177300,166300,163700,166800,172500,173800,171500,165800,166100,162300,161800,160100,161500,159900,161700,162600,168300,170300,167400,167300,162500,165500,162600,163800,162800,17e4,181100,195500,202400,205100,206500,205300,205400,201800,208600,207200,206900,202300,205e3,207600,211300,216200,219200,219400,215500,215700,217600,223500,225700,223700,218400,214400,205600,200900,194100,192100,188200,186900,187500,188400,191700,191200,192400,193300,198300,197700,198e3,201100,206600,21e4,211600,214500,215200,212400,206200,201900,201100,201400,205e3,208900,214600,220200,228500,242100,243900,239800,232500,232e3,230100,228e3,228700,236900,229500,231400,237500
2402,Maricopa County,Arizona,3,232300,221600,212700,207800,203600,197700,188800,179100,169800,159100,149700,138900,131400,122500,117800,119300,124200,129200,131600,132800,136700,137e3,138100,137400,137100,136e3,132600,131700,130600,129100,127600,125900,125300,121400,120400,119900,119700,116300,112200,113e3,114700,116300,117900,118900,124700,125800,120800,113400,110500,115500,12e4,123400,125100,128500,128600,133400,137400,141900,143100,143e3,145800,148400,151300,152900,156e3,156600,157700,157700,157e3,157900,158300,159900,159800,159600,159400,158100,159600,160300,164100,164100,165400,167e3,167400,170300,172e3,174900,176600,178600,180300,181e3,182500,184100,186400,189500,191e3,192500,193e3,195500,198100,2e5,201e3,203100,204600,206900,210100,211400,214400,215500,218300,218400,218800,219e3,221900,225300,228400,230700,234100,235800,239900,240600,240300,235700,233e3,234700,239500,243500,244100,244100,243500,242700,244900,245400
2841,San Diego County,California,4,403600,394700,379800,368300,353100,341e3,330800,320300,308e3,298e3,289800,288800,283900,283e3,281600,290200,298800,308100,314600,320100,325100,329500,326800,328800,329700,336300,335300,331900,331300,330200,336600,336400,337400,335300,327800,323700,320300,323e3,322300,318100,317e3,317500,315500,314900,313100,316500,316600,317500,319100,323900,329100,331e3,334900,338700,346800,352e3,359600,367800,371e3,372600,374200,385400,396900,404900,409700,410400,414200,413400,415900,417900,418700,419400,421600,426e3,429600,429700,432500,435200,437600,439300,438100,436800,443300,448700,453100,448700,449e3,453400,457e3,459400,456900,458200,462800,468400,473e3,472700,473500,476500,479700,480400,478e3,482e3,486200,494100,494100,497e3,498700,505200,509e3,510800,512600,517500,519400,521800,525400,528700,536700,540600,543900,545600,546400,554600,555700,559e3,558100,561300,564900,562800,556800,553200,553200,558100
1286,Orange County,California,5,514600,506500,49e4,471200,457200,444900,435400,422900,407700,398400,385700,386500,383700,382700,386400,395100,41e4,419100,426500,432900,437700,441400,446800,448100,447500,440400,437200,434400,439300,438900,443200,441600,441500,432e3,427700,425200,432400,430200,425100,416900,417100,416700,418700,411600,408800,402800,405800,405100,406500,407900,413400,422300,432700,441400,447800,450400,456800,464e3,467200,477800,488800,507800,515200,519700,522200,525800,528800,527e3,529300,535800,542500,549800,549500,548700,549500,549e3,550500,55e4,554300,563700,566100,566200,560800,568700,573800,579900,574800,580600,587e3,593200,593800,590200,593600,597200,605700,606400,606400,606500,609100,611900,611900,619900,620200,618100,605e3,598700,595400,596100,600200,604300,611800,614800,618100,615700,621600,637900,66e4,673e3,682100,694800,710800,709800,704300,697600,704400,707e3,,,,,,
2964,Miami-Dade County,Florida,6,290400,280900,268900,256400,248600,243e3,234700,223900,212100,204100,190300,179700,169700,161400,153800,148900,151300,154600,156e3,156400,157100,158100,165800,168200,174200,169500,170200,163500,155200,145700,135500,138100,141300,142700,130400,124400,122400,131400,139500,146900,159e3,157700,154500,147400,147800,154700,160100,162900,163e3,164e3,165700,17e4,169e3,169200,168100,168400,170900,177900,182600,188500,187300,189700,193400,198300,201100,204100,202700,198800,199800,199700,204600,195400,197100,198600,206e3,205900,209100,208300,208800,208300,209500,213800,212e3,214400,216800,218600,222e3,222200,224200,221900,223300,224200,225600,225300,227500,231300,231600,233e3,23e4,232400,234e3,239900,242e3,246700,250200,252400,253500,252500,254300,255100,253800,252500,248900,253300,257500,260900,260400,260200,265600,268600,274400,270800,269600,266200,268e3,271800,271600,276400,277300,283e3,282100,
2832,Riverside County,California,7,316200,298900,282500,270800,258700,246400,235600,228100,218600,209e3,200300,193100,184200,175e3,169200,168300,169200,170800,173300,177100,182e3,185700,190700,193500,193100,189900,190700,192700,193500,191700,192100,193100,191300,190400,190400,193300,191700,188300,185600,184900,184100,182400,183200,184800,186e3,184700,185700,186500,187700,190900,192800,195300,196100,198700,203900,210500,216300,221900,226600,230600,234300,237e3,242100,247700,251500,253700,257900,261900,267400,269100,275e3,279300,280400,278100,278900,280800,282500,281300,282100,283600,285300,286700,288400,294200,295100,297500,294300,295500,296700,297800,300800,302200,303200,304400,306600,308900,310400,311e3,312e3,313100,313700,316900,321700,322400,321300,318300,319900,323200,324900,327300,326800,329600,332400,335e3,337e3,343e3,347700,351400,357400,367500,368900,366400,364e3,367500,366700,365e3,37e4,372200,375500,37e4,372600,374600
3250,San Bernardino County,California,8,267700,255100,240900,232700,219900,211300,201100,194800,186900,176900,167700,158600,151200,141500,136e3,132900,132400,134300,137800,142e3,145800,147700,149700,149600,148700,148200,147800,15e4,150100,152400,154e3,154e3,152900,15e4,151100,152e3,151700,148900,145200,143400,144200,146500,149700,150400,150900,147800,147500,145900,146800,148500,150600,153800,155700,159700,163700,166800,172600,174700,178200,175600,178700,182e3,189300,194e3,196300,200700,209500,218900,219600,219700,218800,223400,221800,224600,226500,230800,231600,232200,232e3,234800,237600,24e4,24e4,241400,244900,248e3,247200,246500,248100,255100,257700,256400,255500,256800,260300,261700,263200,262800,264200,263700,267100,266e3,275500,273700,275200,268e3,266800,266700,268600,273200,276600,279e3,279100,280800,286300,296500,303200,305e3,308700,315600,321e3,323700,321600,323700,321900,322600,324300,326500,322600,315900,314800,322100
445,Clark County,Nevada,9,247200,241900,234400,228500,219600,209e3,195600,187400,177800,169700,161100,154600,148300,138300,130400,126300,125e3,122300,120300,121500,123700,124500,124700,124500,124900,125700,127700,130300,128400,126900,123200,122500,121e3,119100,118100,117200,115700,114100,112200,112500,111e3,108600,106500,107600,109600,110200,110600,11e4,111100,112900,115700,120700,123e3,124900,125300,128900,133400,136900,139600,141600,145200,149e3,152500,158500,162100,165200,164100,165e3,166700,168700,169600,171600,174e3,175800,175700,169900,169800,172300,18e4,182400,183e3,184500,185500,191100,190900,192100,188500,189800,191600,193600,194900,194100,195100,195300,199600,203600,205200,203900,202200,204300,205400,205100,203600,205600,208800,210300,212300,214500,219800,221200,223600,229600,233700,234200,232800,235400,238600,241600,245300,251200,259e3,263800,271100,278700,280900,28e4,277900,282200,285700,287300,286600,285e3
207,King County,Washington,10,393700,389100,382500,376400,365700,363e3,360300,361100,356600,359500,367100,367600,356700,34e4,332700,330900,329200,330700,334300,340100,339e3,348e3,361700,371600,367e3,350300,341700,335900,347200,352300,359400,354500,355300,357900,361600,363300,352700,341600,328100,319500,31e4,308500,311700,308e3,304300,301e3,307200,305e3,303e3,31e4,319900,332200,332600,337700,341e3,348e3,358700,362700,361700,359600,362600,363800,366800,365e3,372800,373900,380900,381400,382800,378700,380800,380300,380800,375400,373100,375800,381900,383100,386900,388300,391600,389400,390500,394700,397100,405e3,406300,409500,402300,406900,408400,415e3,416500,425200,433500,437900,438e3,438600,440400,446200,442100,442600,441300,450400,460600,469200,478300,481200,488800,497700,509700,516600,521800,529e3,533600,541600,544500,553400,557200,564e3,576900,593200,601900,594200,577e3,567500,568600,575700,577700,575700,578100,587600
2049,Tarrant County,Texas,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171300,177200,178200,177800,173600,174800,175700,176600,177900,179100,182600,185300,186700,185900,184200,185700,187200,189400,190800,191700,192800,195800,2e5,200800,2e5,198300,200200,201900,202900,202800,203300,203700,206300,208300,210800,212100,215300,218700,221e3,216800,217900,217700,220100,216500,217100,
3136,Santa Clara County,California,12,670700,640800,621600,610700,603600,59e4,565400,531e3,492600,469600,459900,450500,426900,406400,400400,414800,442400,466600,478500,482700,490900,507e3,516100,511100,508e3,500100,506700,510100,520800,526100,528300,526500,525600,523400,518600,498600,485400,479100,488900,502200,505500,514500,512100,504600,496e3,491300,496200,487300,486100,493800,515200,539100,562700,585900,594600,600200,599700,609200,625100,630900,633200,633500,645500,653900,658100,662700,666600,666500,665300,669600,687900,698100,707800,708800,712400,716600,711500,720900,724300,734100,737500,746600,752100,760300,764800,771100,781500,792900,808200,824400,826500,826e3,821700,835500,840200,844900,842500,849800,853600,853900,858700,856500,861800,865600,872400,872100,874600,883300,897500,900900,904800,914600,923800,937500,957900,989100,1012400,1065700,1106900,1153600,1178900,1178800,1183e3,1152200,1140600,1136800,1123600,1141e3,1111900,1100700,1077100,1067200
1561,Broward County,Florida,13,232300,220400,211300,206200,204500,204600,193800,188200,176100,168400,157800,148400,139700,131900,122600,117600,115200,117500,118100,118e3,122500,126200,123900,117400,115100,113300,115100,114e3,115e3,112900,110600,110300,112100,112100,107100,102500,99400,99500,99100,102600,106100,107400,107e3,107100,110900,113e3,116800,115800,116500,116300,118400,120600,120600,121500,122900,127200,13e4,135100,138500,141600,139900,140700,142900,146300,149600,152700,155800,157700,158300,159300,160300,161500,162e3,160900,161300,162600,165400,165300,167500,168700,174300,177500,178300,179300,180300,184300,188e3,189500,192700,192600,191500,189500,186600,187900,191100,197200,201600,202100,202800,203300,203200,202100,205500,209400,212200,211500,210800,212900,215800,220800,221e3,222900,221e3,226300,225500,228100,229e3,232400,235300,236100,238800,241700,242200,241700,237800,238800,236500,241300,247300,254800,253200,255600
386,Bexar County,Texas,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169100,169e3,169400,170600,170700,172e3,172400,175100,174e3,175400,175300,177600,178600,178800,179200,178600,180100,179400,180800,179900,178800,179800,181600,183900,182900,183100,184200,185700,185100,185300,184200,183900,184500,183900,183600,183500,186600,187600,187900,187e3,188200,189500,191200,192e3,190800,191300,193700,196400,197100,195800,196400,199100,202800,205800,203800,201500,
2452,New York County,New York,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830700,827700,804600,807800,827900,845e3,832500,789600,798400,815900,796600,733e3,664800,645100,666700,687100,700500,702200,712e3,721800,706900,738800,748600,782400,749e3,728300,691e3,700100,704600,698100,683400,706600,742600,758700,749200,738100,746500,739e3,759200,751e3,741300,748800,755300,779e3,770500,759100,765400,766900,774300,758300,768600,767600,796e3,790100,794600,786800,813300,857400,945100,988600,997400,956e3,1027700,1088200,1077400,979e3,960600,954400,963500,943900,960600,973200,915600,888700,880900,941500,996200,1040700,1059900,1055600,996800,986100,969500,971900,982100,1033500,1045400,1023300,1005400,1006600,979e3,931e3,948500,995700,1072200,1059800,1022500,959800,986500
3175,Philadelphia County,Pennsylvania,16,109200,109800,111300,109800,108100,110900,114300,117200,115400,111700,107700,101800,101500,108600,111800,113500,108900,115600,121800,125900,130500,128e3,124400,114500,115e3,117700,120900,119600,115100,106300,105100,101800,111800,106300,108800,104500,106900,110100,110200,111500,105400,106300,106e3,108e3,104400,105e3,104100,101400,99700,102800,109300,107900,107300,108900,109800,107500,107500,112e3,115e3,111900,106600,106600,108600,112800,115e3,115400,116e3,116800,117500,119100,119200,120800,125e3,123700,122600,118300,117600,119500,118900,121700,119300,119700,118100,112600,113900,114200,118600,119900,120200,120800,123100,127500,128e3,123500,127500,128400,128300,120300,121500,122400,125100,125400,130100,128800,131300,130800,133300,134700,136100,139500,141500,144300,144200,145900,145800,146400,148700,149600,153100,147e3,144200,139500,144100,143400,143200,140800,144e3,147200,152500,155500,156200,
1510,Alameda County,California,17,533100,510200,466800,443400,435700,425e3,410900,389e3,368200,350600,339200,337500,321200,311200,305e3,318500,328600,333700,350700,367e3,378200,377700,374700,382e3,381900,377600,379300,380500,387300,380900,381900,380700,379800,372500,360300,360100,355200,352300,340900,336100,339800,339200,345600,344700,346200,342600,340900,343700,336200,336800,333e3,349300,367100,384800,397e3,403e3,410200,416800,427100,434700,441700,447400,457500,471700,487600,496800,504600,510800,514700,516300,517500,528900,532300,536500,535700,542900,549600,562900,563900,561800,558800,562200,567300,572400,586e3,604400,609500,610500,608500,614300,620100,625100,624100,634200,639700,666400,659300,658700,646e3,651e3,651300,648200,653700,658500,674200,677800,687e3,706200,719100,723900,699900,698600,701200,709700,716500,730200,743e3,755700,769900,797700,800700,801100,794300,804100,806500,802e3,803500,801800,801500,795100,793700,820900
2801,Middlesex County,Massachusetts,18,365500,354500,346600,348100,346800,350700,349e3,344800,336200,332300,335300,347400,339500,335900,323300,331600,334900,337400,341700,336900,336400,343400,355800,364400,355800,351e3,346e3,353300,359600,370600,374600,366700,359500,352900,357100,354600,343900,334800,335200,348e3,354900,359e3,359600,353500,350200,340500,345600,346300,347300,344700,345100,354100,359300,361700,357600,355500,354400,355400,356700,351600,356400,362800,370600,373800,372700,377800,379100,386800,382800,379700,384700,390100,393200,386600,393e3,397500,403600,400300,401900,402e3,406500,406500,414100,417200,420500,412700,411300,410200,415e3,415600,415800,415700,418800,424200,425600,427600,423100,426300,426200,434400,439e3,442e3,441700,432200,436900,439400,447800,448e3,451500,457400,459100,456100,454300,459500,466800,468900,467600,473500,482100,491200,491700,493300,49e4,495600,497600,501e3,495800,492700,492700,493600,502300,
2046,Suffolk County,New York,19,393600,398500,404300,404500,397200,389200,380400,372400,369200,367700,363e3,358500,354200,353700,354700,356900,352900,353600,349200,351e3,345e3,347600,344600,349400,348800,353e3,349500,344700,341400,339600,339100,344600,342300,352300,351700,353600,346900,337700,341700,333300,335400,327300,327600,327e3,324100,33e4,329300,326800,328900,329900,339800,341400,343900,340700,329400,33e4,328900,339400,343800,348400,347200,344100,346900,347600,345900,344300,345400,349100,350300,350200,347600,343700,341400,342800,340900,340600,341200,344400,342e3,337700,340200,343e3,352400,354300,357500,355300,352800,355400,351e3,349200,345700,346300,348300,348300,349400,350900,349400,348700,350200,352300,355400,355100,355500,356900,356200,358100,355900,357100,359700,362200,362300,358e3,361800,363600,367200,364600,36e4,357200,355100,361300,369e3,377100,382600,381600,381700,388700,388900,381900,365500,362600,361200,
3017,Sacramento County,California,20,249200,234800,221400,21e4,201400,196100,188100,183800,177100,172800,167900,162900,160600,156800,158100,159200,162500,166300,168e3,171700,171900,174800,173700,171900,171600,171600,173400,171900,169200,167600,166200,166800,166700,166500,166300,160600,157700,153700,153200,149400,147900,149300,150200,150700,152100,153400,155e3,153700,155700,154400,154500,153200,155800,160700,166e3,173100,179600,183800,189600,192600,201e3,204800,212700,217400,223700,227400,230600,231400,233600,237200,241900,244700,244600,245600,246500,248600,247200,247900,250300,252700,253400,253600,254600,258e3,260600,264e3,264e3,264600,265200,266e3,267900,269900,270800,274700,278600,283700,288300,289500,290700,289800,292100,295100,295900,300100,304600,304800,306200,303800,306900,307600,310400,312800,316600,319500,322200,324600,327600,330500,339600,343e3,349700,346400,346600,345800,345300,350100,354700,357500,359200,355600,,
1252,Nassau County,New York,21,457500,461900,475100,475400,469100,464800,454100,444600,429700,423e3,419600,412100,415100,414700,417900,413600,414300,406800,405200,405200,412600,415500,415200,417500,423e3,429800,427e3,426200,416700,420800,418300,421100,422e3,414800,418e3,417200,422300,429700,420500,418400,408e3,409300,414800,409600,407500,397900,401400,4e5,397400,394900,402700,407700,410300,410800,417200,412100,413600,408800,418600,420200,422300,420300,417600,422200,424e3,424700,425100,424400,427900,425300,428500,427100,430100,429200,431600,429200,432700,438100,442500,440200,433200,427700,428400,430800,431400,436100,436400,446100,439700,439400,432200,437e3,437400,443200,446700,444900,448e3,449500,459200,457800,460800,463600,465700,469200,472200,475300,470300,471600,474900,479700,486200,486800,488400,486800,488900,490200,493800,499900,501e3,498600,498800,505900,511200,509800,509900,507600,514600,516800,523100,520800,521e3,
2993,Palm Beach County,Florida,22,243300,233500,221200,219200,217300,220800,216500,207400,195300,185100,177900,170400,162800,154300,146600,145400,147900,153800,159400,160800,159100,157900,157900,158600,154300,151100,148600,148300,145500,142500,137700,137100,136600,135200,134e3,128700,124300,119900,120200,119900,118300,116e3,114300,116600,115400,118700,117400,119900,119e3,123e3,125600,130100,132200,135200,138300,140800,145800,148700,156500,156300,155900,152600,155900,159300,161700,164e3,166200,168700,171700,175200,178300,177800,180100,178800,179900,181e3,185500,186400,187e3,187500,192300,194e3,195300,194700,197100,199100,205400,208400,208900,208200,206900,21e4,209400,212600,210300,215e3,216100,221900,221600,222900,225200,227500,23e4,23e4,228600,227100,226800,232600,235300,238300,236300,237200,236e3,238500,243500,247e3,250600,252100,259200,262800,267600,262900,257e3,249500,246900,246900,249400,254400,26e4,258400,256400,
