SizeRank,RegionID,RegionName,RegionType,StateName,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
1,3101,Los Angeles County,County,CA,0.9659183438811882,0.9607738836502211,0.9678291430116248,0.9714285714285714,0.9727891156462585,0.9701897018970189,0.9717489995968079,0.9675675675675676,0.9619084263178146,0.9582309582309583,0.9532515016975711,0.9478991596638655,0.9489612721210566,0.9426466043055652,0.948327606904831,0.952,0.9552238805970149,0.9546615613270524,0.9538041822462262,0.9530201342281879,0.9459459459459459,0.9487179487179487,0.9474013569593571,0.9495289556323573,0.9459806850552352,0.9520530871321408,0.9519149067707012,0.9584948344397087,0.9691615772867538,0.975,0.9787254866499716,0.97868638538495,0.9825750242013552,0.9836612204068023,0.9859959988568162,0.9859601182629174,0.9922779922779923,1,1,1,1.0005885815185402,1.0029498525073746,1.000374004269579,1,1,1,0.9879638795663617,0.9866220735785953,0.9818181818181818,0.9841548804641951,0.9888268156424581,0.9892780557541101,0.9910427746194755,0.9901237654706838,0.9889972321119042,0.9849246231155779,0.9799599198396793,0.9791013355928058,0.9759024036129793,0.974678008566965,0.9730942482163782,0.9790482523868588,0.9833333333333333,0.9901269393511989,0.9926617745163442,0.9952941176470588,0.9912574063833919,0.9922066676288065,0.98989898989899,0.9853809101071875,0.9841269841269841,0.9843923997772829,0.9818181818181818,0.9849736955000112,0.990909090909091,0.9949302915082383,1,1,1,1,0.9922436834186719,0.9888423771805606,0.9880043823414266,0.9849260523321957,0.9832775919732442,0.9865092748735245,0.9940513462742643,1,1,1,1,1,1,0.9983330246341915,0.9952380952380953,0.9916666666666667,0.9929366744146494,1,1,1,1,1,1,0.9988751406074241,0.9891086908201823,0.9857142857142858,0.9797917942437232,0.9743999344638322,0.9726775956284153
2,139,Cook County,County,IL,0.8887133405747013,0.8789625360230547,0.8816091954022989,0.8830456619168883,0.8972602739726028,0.9070374326358207,0.901840490797546,0.9055809055809055,0.9071778088333075,0.8932825154835636,0.8936708860759494,0.8782929399367756,0.8699434536755111,0.886339937434828,0.8823529411764706,0.8764940239043825,0.9011443329975605,0.9012240632930288,0.9006433166547534,0.9006004002668445,0.8875739644970414,0.8862206975414523,0.8770543365665318,0.8793969849246231,0.8794708394927453,0.8714941022280471,0.8706405422487632,0.8928571428571429,0.9045454545454545,0.918419999578779,0.9212391955611695,0.9198217268536948,0.9230769230769231,0.920338315274696,0.9182089709535022,0.9182879671309023,0.9113924050632911,0.9174311926605505,0.922778771615981,0.9318409546365458,0.9443507588532883,0.9539929219879981,0.9572901325478645,0.9557894736842105,0.9565217391304348,0.9545454545454546,0.9475409836065574,0.9434343434343434,0.9454545454545454,0.9432387312186978,0.9373911149825784,0.9514148363207944,0.958904109589041,0.9611612397018439,0.9591836734693877,0.9591025634303512,0.951919974185221,0.9446808510638298,0.9390888643095219,0.9342230695900858,0.9285714285714286,0.9285203351726957,0.9360730593607306,0.94860978366535,0.9597958397055715,0.9626470366175915,0.9583736689254598,0.9555555555555556,0.9498851512915901,0.9457984721716988,0.941588228285476,0.9382485022797411,0.9295922410598831,0.9349442379182156,0.9452830188679245,0.9569338923772159,0.9625650284934408,0.964327387897983,0.9631019387116948,0.9604455558081382,0.9551006492543951,0.9510600356647514,0.9454949944382648,0.9405705229793978,0.9395582614433851,0.9423735970360685,0.9523809523809523,0.9626274065685164,0.96875,0.9678920428106096,0.9673292399014309,0.9617747200673944,0.9569499121797589,0.9529032258064516,0.9488666315234581,0.9444444444444444,0.9393063583815029,0.9399355821943729,0.9573946834534877,0.9674642576900869,0.9688581314878892,0.9683000133371965,0.9649749821300929,0.9600009600019199,0.9549795361527967,0.9510004083299306,0.9443402126328956,0.937695353198583,0.9329764402073419
3,1090,Harris County,County,TX,0.9429764705882353,0.9369398430498175,0.9527962382445141,0.9536258240509207,0.9636128438263754,0.9589175824175824,0.9389307692307692,0.9458969696969697,0.943733681462141,0.9203871829105474,0.9183945578231293,0.9178468468468468,0.9036144578313253,0.9234498432601881,0.9146090501194344,0.9298201973867111,0.9146136168179646,0.913684705882353,0.9118513223731236,0.9194201390716794,0.9128140739069723,0.9232152057245081,0.9171247498332221,0.9231117111573777,0.9101307811909065,0.9320987654320988,0.9230336,0.9240420481519159,0.9369181630372916,0.9514696382479897,0.9471050750536097,0.9509252847486962,0.9502250417950642,0.93762100456621,0.9424282389449186,0.9351500601848148,0.9412794853466762,0.9326086956521739,0.9488117647058824,0.9484799125162693,0.9566633277310924,0.9562089491642001,0.9584467566016073,0.9528715244487056,0.9592704905278717,0.9562069670821349,0.9412181879648411,0.942321568627451,0.9424456845986258,0.9506671367492827,0.9534615384615385,0.9655333333333334,0.9710311658330127,0.9762982991820868,0.972202397418165,0.9877340219496449,0.9685250284802915,0.9579829325058185,0.9532773109243697,0.9638,0.9800223707213839,0.9713036833855799,0.9707209612817089,0.9734264212925717,0.9834089392928619,0.979042640708386,0.9745719393895916,0.9739130434782609,0.9673590504451038,0.9596670792290855,0.9588295225491927,0.9572567726737338,0.9569377990430622,0.9563798356510747,0.9629629629629629,0.9731864235956722,0.9713149899432383,0.9742696833777454,0.9761647058823529,0.9746727272727272,0.9619746835443038,0.9461649064663427,0.9538679245283019,0.9500029687685547,0.9461673212351029,0.9492859044885076,0.959966611018364,0.9605671305081172,0.9679641025641026,0.9661143926081288,0.9699591639818731,0.96236,0.9544420178799489,0.9591400175101513,0.9589504345852942,0.954925925925926,0.9589700061842918,0.9545454545454546,0.96,0.9679840464104423,0.9722573278800273,0.9696969696969697,0.9669100232802106,0.9623820754716981,0.9623563474387528,0.9549795361527967,0.9504308631578948,0.9465542857142857,0.9518683378718615
4,2402,Maricopa County,County,AZ,0.93087117396358,0.930576070901034,0.9240566037735849,0.9259259259259259,0.9333096758930683,0.9332443257676902,0.9291023441966838,0.9262689885142645,0.9248445158778489,0.9152830991911451,0.9198396793587175,0.9057971014492754,0.9125,0.9030201682375596,0.9021916493361062,0.9181141439205955,0.927917525773196,0.9373329724069821,0.9518987341772152,0.9553649416544807,0.952,0.9603394161135721,0.958930382374114,0.9554140127388535,0.9555053439495015,0.9555555555555556,0.9642857142857143,0.9689922480620154,0.9781967450804222,0.9851470142467414,0.9848123021257349,0.9874213836477987,0.9843519354139121,0.9793103448275862,0.9777777777777777,0.9712230215827338,0.968387741505663,0.9662353446155478,0.9707298999629492,0.97130901545163,0.9730848861283644,0.9757757928598465,0.9753028030252487,0.9771736342651962,0.9723966036906363,0.967741935483871,0.9620253164556962,0.9590909090909091,0.9565701020457513,0.9586905689789555,0.9573967269336907,0.9563825530212084,0.9564980921610271,0.9585924997779358,0.9570990359333917,0.9555555555555556,0.9591326105087573,0.9560867148415787,0.9568627450980393,0.9580487464208394,0.9562196925471882,0.9619109102646869,0.9652777777777778,0.9690627843494085,0.9714285714285714,0.9711353083513178,0.9726942767130481,0.9727859576931546,0.9714285714285714,0.9701492537313433,0.9695471516319403,0.9684770224078997,0.9673115410273516,0.968421052631579,0.9711538461538461,0.9725490196078431,0.9725609756097561,0.9732112580535774,0.9734991887506761,0.9736842105263158,0.972972972972973,0.9717359709196732,0.9711563985004873,0.9702127659574468,0.9689283885472235,0.9717868338557993,0.9743589743589743,0.9759358288770054,0.9762020976440196,0.9772727272727273,0.9772727272727273,0.9769100335865915,0.9752293577981651,0.976,0.9744680851063829,0.972972972972973,0.9732739420935412,0.9755102040816327,0.9788917935894521,0.9805452134979281,0.9813636363636363,0.981404958677686,0.9812008911129441,0.9793915402230633,0.9769713886950454,0.9781152300133988,0.9749565719457154,0.9736703528172722,0.9722465972465972
5,2841,San Diego County,County,CA,0.9574948586365297,0.9649736228683596,0.96875,0.9665754176439458,0.9714979690976262,0.9624706572769953,0.9647058823529412,0.9632810213726022,0.9531772575250836,0.9484482909345222,0.9406644023287323,0.9436194717444717,0.9415041782729805,0.9375023437558594,0.9450265575872279,0.9386733416770964,0.9498525073746312,0.9415384615384615,0.9408536440929647,0.9417304296645085,0.9454545454545454,0.9384048433798368,0.9365339152573195,0.935251798561151,0.938882512013385,0.941448936986469,0.9518236074270556,0.9595277095277095,0.962278675904542,0.9688195991091314,0.9702520679633355,0.9720475055670585,0.9746328437917223,0.9736147757255936,0.9743589743589743,0.9804280686633627,0.9830097087378641,0.9857142857142858,0.9887323049577859,0.9994472917294744,0.9977117856271235,1,1,0.9877469367341836,0.9787234042553191,0.9726235583128617,0.96875,0.9654761415478197,0.9616679384932676,0.9693838060552551,0.9719626168224299,0.9735519103329788,0.9739868472759035,0.9735849056603774,0.9712230215827338,0.9676898222940227,0.9618537545086895,0.9598004472711457,0.9577464788732394,0.9561128526645768,0.9573817420832347,0.9640102827763496,0.9713701431492843,0.9771724144203937,0.9766277128547579,0.9817945383615084,0.9793760727643002,0.9764705882352941,0.977366255144033,0.9712230215827338,0.972936400541272,0.9713701431492843,0.9733333333333334,0.974025974025974,0.9807045494777836,0.9862169407096271,0.984930032292788,0.9877529286474973,0.9862068965517241,0.9824407239539974,0.9782143535821313,0.9772184684128059,0.9773467743046467,0.9741935483870968,0.97451369556999,0.9821109123434705,0.9891067538126361,0.9915060674085696,0.9922656960873522,0.9918200408997955,0.9879445405263999,0.9849246231155779,0.9833024118738405,0.9789216261094776,0.9787234042553191,0.9774504455355519,0.979381443298969,0.988313856427379,0.9887640449438202,0.9906650981417336,0.9881408274904262,0.9888109918312415,0.9847908500931697,0.9785185185185186,0.9727117592305305,0.9653916211293261,0.9635258358662614,0.9571496939263852,0.9602717106611702
6,1286,Orange County,County,CA,0.9562841530054644,0.9455782312925171,0.9635186819652839,0.968,0.9649397536062161,0.9660804020100503,0.9637759747215081,0.958594730238394,0.9539366351003151,0.9509884875492196,0.94579945799458,0.9391304347826087,0.9425287356321839,0.9363057324840764,0.9411993108602615,0.9456264775413712,0.9445756355049313,0.9448275862068966,0.9454545454545454,0.9394572025052192,0.9367538911297075,0.9392080745341616,0.9366880102602387,0.9348846703408858,0.9392534764576727,0.9409409409409409,0.9489795918367347,0.9602243936147887,0.9597378277153558,0.9732870554984224,0.9729458646208897,0.9771238073341764,0.9741935483870968,0.9790160536744563,0.9787993375250993,0.9852476290832455,0.9882352941176471,0.9878419452887538,0.9949972206781545,1,1,1,1,0.988673900261906,0.9836065573770492,0.972972972972973,0.9707241910631741,0.9666677407431276,0.9650815932619757,0.9730387232752418,0.9758203799654577,0.979842290491233,0.9782312925170068,0.9769230769230769,0.9745222929936306,0.9692113850030691,0.9684455186236284,0.961905775291602,0.962,0.9615384615384616,0.9632204937346354,0.969837223426487,0.9772070767993567,0.9810683656840934,0.9833373432325541,0.984375,0.9840794870219666,0.9800985096044108,0.9781619473422751,0.9711595055915244,0.968054211035818,0.9703476022637276,0.9702970297029703,0.9760212073743825,0.9833024118738405,0.9849863425960477,0.9862565209570067,0.9845361399155168,0.9854497275922692,0.9785202863961814,0.9783034053178501,0.9747851810114101,0.9737461428528105,0.9743589743589743,0.9748725966236226,0.9794812694821625,0.9875302826672234,0.9910292156625046,0.990718282691316,0.9906759400130407,0.9883236030025021,0.9846153846153847,0.9824390488110137,0.9806138427810835,0.9813084112149533,0.9796018327737634,0.9799713876967096,0.9860068427294804,0.9920128401699118,0.9930915371329879,0.9929188255613126,0.9891304347826086,0.9854754702658952,0.9813333333333333,0.973741794310722,0.9712643678160919,0.9653407769248662,0.9625601600100007,0.9613523493145838
7,581,Kings County,County,NY,0.9018203611336659,0.9244528124264533,0.8670520231213873,0.9306666666666666,0.9207235798159314,0.9197218425676995,0.9195253833269812,0.9154929577464789,0.8364835436773076,0.8970775426058274,0.9171974522292994,0.9066901408450704,0.9156626506024096,0.9265822784810127,0.9212283044058746,0.924130579613591,0.9298245614035088,0.919732441471572,0.938927738927739,0.9442896935933147,0.9224719254577798,0.9019607843137255,0.9047175164140391,0.9273959430979979,0.8972835314091681,0.8977955911823647,0.9139784946236559,0.9198662207357859,0.8911921213565245,0.9410972948832879,0.93755,0.9313154831199069,0.9480326592854986,0.9486166007905138,0.9212950776520137,0.8989857931171661,0.93687374749499,0.93615385944004,0.9238095238095239,0.9589139794394166,0.9647058823529412,0.9803921568627451,0.9664779660857232,0.979381443298969,1,0.9724636625259553,0.964516129032258,0.9531772575250836,0.9817351598173516,0.9566533220574795,0.9629629629629629,0.9724238026124818,0.9742546739615592,0.9863403263403263,0.9821410994877771,0.9873355967523323,0.9864460275949138,0.9810554803788903,0.9703582773063222,0.9693263427317089,0.9792387543252595,0.9711617340821607,0.967741935483871,0.9696969696969697,0.9791666666666666,0.9882352941176471,1,0.9811320754716981,0.9966666666666666,0.9807692307692307,0.979498861047836,0.9710660562459124,0.9772692905447977,0.9714424491778454,0.9769931017103979,0.9668534080298786,0.9709762532981531,0.98453781844344,0.9799599198396793,0.9833999173439867,0.9794602382542081,0.9802606003887409,0.9676790421792618,0.9723668149654643,0.9736293097137838,0.9708095600090221,0.966297715339861,0.9689903846153847,0.9793572838177251,0.9744406336763025,0.9834454409566518,0.9899280575539569,0.9844859163402537,0.9733036707452726,0.9623310810810811,0.9774066341916028,0.9695817490494296,0.9653426175027694,0.9739130434782609,0.9821428571428571,0.98,0.9777825070734407,0.9790063759437853,0.9778831804281346,0.9748427672955975,0.9705448551101856,0.9699498327759197,0.9589595375722544,0.9590442293415568
8,2964,Miami-Dade County,County,FL,0.8666666666666667,0.8703703703703703,0.8679245283018868,0.8682855040470935,0.8790290363953659,0.8915742348206162,0.9193548387096774,0.9179592569894972,0.9175436311539464,0.9155889476288445,0.9183590153758994,0.9054254132440929,0.9152542372881356,0.9142857142857143,0.9038089089735313,0.9124040920716112,0.906654697785757,0.9095146697615609,0.9107345127648521,0.9217157496628151,0.9278350515463918,0.9219751506425639,0.925,0.9257882417733718,0.932968085106383,0.9333333333333333,0.932,0.9375,0.9402848922882605,0.9390629882466159,0.9463148316651502,0.9458896396396397,0.9489993544222078,0.9581313927657653,0.9527896995708155,0.95,0.9545454545454546,0.9479553903345725,0.944,0.9545109670299352,0.95,0.952,0.9557231611009707,0.9585137220358466,0.9575177190543341,0.9553903345724907,0.9555555555555556,0.9529303245389789,0.9465958009575688,0.9476178598154152,0.9422492401215805,0.9380001256202499,0.9443402126328956,0.9485714285714286,0.9435742592942065,0.9441233140655106,0.9473684210526315,0.9441860465116279,0.9419354838709677,0.943126607602172,0.9365201076759933,0.939017887660932,0.9384864326611899,0.9387186629526463,0.950002375011875,0.95,0.9468223086900129,0.9454545454545454,0.9449617779500334,0.9434782608695652,0.9463722397476341,0.943126607602172,0.9416767061157962,0.9390222974049693,0.9403080872913993,0.9411858825411803,0.94,0.944,0.9437751004016064,0.9423728813559322,0.9414225941422594,0.939981807155852,0.940279542566709,0.9429824561403509,0.9329137512745684,0.9354838709677419,0.9372496662216289,0.9379628105973342,0.9375,0.9391771019677997,0.9346810239739943,0.9393939393939394,0.9384317824203654,0.9400009400018801,0.934922381235453,0.9368528245256726,0.932561976101302,0.9349254177015893,0.9383939161375846,0.9411764705882353,0.9352426444135441,0.94,0.9398388521446883,0.9444444444444444,0.94,0.9382424038945778,0.9399248120300752,0.9358974358974359,0.9353958715711663
9,978,Dallas County,County,TX,0.9730546822742475,0.9547466666666666,0.9751899791231733,0.9749404908877131,0.9817025392806613,0.9760967184801381,0.967588908765653,0.94136632598171055,0.9737041527735677,0.9498540973415732,0.9478301886792453,0.9346076458752515,0.9304588527072887,0.9443701353407514,0.9356096989966556,0.945044998598634,0.9444748249416473,0.9481481481481482,0.9548202247191011,0.9527944852467466,0.9403767272727273,0.9366238341968912,0.9305831876456876,0.9345959970348406,0.9500800533689127,0.9747973333333333,0.9620605778256788,0.9681364631055275,0.9686829823214023,0.9653752843062926,0.9833179916317991,0.9756108786610879,0.9854727272727273,0.9731891891891892,0.9623717091021965,0.9697283018867925,0.9803258426966293,0.9780473335274066,0.9741703792349785,0.973039466039018,0.9762452369182968,0.9856989836430046,0.9778509615384615,0.9786579743008315,0.9759625393081761,0.9742097461727245,0.9700569259962049,0.9699785407725322,0.9700649350649351,0.9586865671641791,0.9668067920420025,0.9714965340517099,0.9745801136363637,0.9777530589543938,0.9836065573770492,0.9727818465174078,0.9738888081542182,0.96239,0.9625331546122761,0.9667695898195816,0.9695096774193548,0.9712859498076571,0.9772727272727273,0.9766276803118908,0.9829569411265063,0.983177570093458,0.9833795227097768,0.9874305990611407,0.9819725404175806,0.9672727272727273,0.9741785714285714,0.9652834383104854,0.9673102118078167,0.9748030846645852,0.9732739420935412,0.9845333788188406,0.9843831578947368,0.9851883745963401,0.9871272216085952,0.9891585127201565,0.9813822483972676,0.9887932568992761,0.9717443575790656,0.9733333333333334,0.9811320754716981,0.9662933887425498,0.9806852319969959,0.9838582639230327,0.987385819921705,0.992407751498987,0.991702437249909,0.9799444444444444,0.9874644597473299,0.9796554099345861,0.9757414456063765,0.974968671679198,0.970660440293529,0.9737656305823509,0.976434241486068,0.9862927553245011,0.9839748305454821,0.9815242494226328,0.97695625,0.977028300405189,0.97338,0.9761904761904762,0.9736842105263158,0.9697148989898989,0.977985845410628
10,1347,Queens County,County,NY,0.9024390243902439,0.8999333999333999,0.9283518349390927,0.9118236472945892,0.9109144306306569,0.9370343839541547,0.9490333919156415,0.9440559440559441,0.8822463695623467,0.9385113268608414,0.9369202226345084,0.9378960709759189,0.9236947791164659,0.9116460462614309,0.9200507614213198,0.9168241965973535,0.9230769230769231,0.9159891598915989,0.9202757211041891,0.9280094575542018,0.9273182957393483,0.9264705882352942,0.9271706689302045,0.9273182957393483,0.9207459207459208,0.9122085048010974,0.921701404156773,0.9142857142857143,0.9256199191997674,0.9183673469387755,0.934970534956777,0.9375,0.9123711340206185,0.9333333333333333,0.9382716049382716,0.9338635357821571,0.9113136252500555,0.9386232704712196,0.9281841922581071,0.9348914858096828,0.9391041889633677,0.9499136442141624,0.94899066182376135,0.9545954847306275,0.9515859766277128,0.9467561322619448,0.94972067039106145,0.9450890817724988,0.936143876510849,0.9559748427672956,0.9492537313432836,0.9476620643121141,0.9498327759197325,0.9534883720930233,0.9585016269159876,0.9529456609207573,0.952779104953018,0.9566800789462049,0.957928699207769,0.963855421686747,0.9528343846029436,0.958904109589041,0.9580934400280712,0.9557679484329851,0.9663865546218487,0.9652509652509652,0.961540927028018,0.9785202863961814,0.972972972972973,0.9642857142857143,0.9636363636363636,0.9645706137863832,0.9619238476953907,0.9619238476953907,0.967741935483871,0.9737286323316037,0.9666268894192522,0.9662878787878788,0.9728956424235394,0.9787191226040147,0.9664868333968433,0.9750232720777594,0.969966602862383,0.9714285714285714,0.9740776372854438,0.9726443768996961,0.9671254883347329,0.9696969696969697,0.9715906755691393,0.9714285714285714,0.9727290413255297,0.967948717948718,0.9662576101138342,0.9701289529501931,0.9713406424312367,0.9637735849056603,0.9691552461822661,0.9614791987673343,0.9618441971383148,0.9619238476953907,0.9696773714582674,0.9706758472004788,0.97000194000388,0.9685223643014516,0.9693877551020408,0.9565910623467799,0.9599332220367279,0.9572901325478645,0.9545757980337419
