SizeRank,RegionID,RegionName,RegionType,StateName,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
1,6181,New York,City,NY,0.9083333333333333,0.9196488988616471,0.8941475308835354,0.9202453987730062,0.9217877094972067,0.9179258487194759,0.9314586994727593,0.9272918861959958,0.8888888888888888,0.9302973375655892,0.9250023125057812,0.925611519839024,0.9192200557103064,0.9229721431144803,0.92,0.9199745454545455,0.9249183895538629,0.9220985691573926,0.9331571753986333,0.9337561418268348,0.9265972994786554,0.9182187332850963,0.9217346158209017,0.9223300970873787,0.9088311688311688,0.9070354813287054,0.9137844628201801,0.9175760061463454,0.9142857142857143,0.9242761692650334,0.9333333333333333,0.9329896907216495,0.9364069952305246,0.9354120267260579,0.934375,0.9295707472178061,0.9265442404006677,0.9299763634335063,0.9290639705539766,0.9406305934186976,0.9472259810554804,0.9612903225806452,0.9571442244917493,0.9630606860158312,0.9651795017523918,0.9587112171837708,0.9574468085106383,0.9555062341686545,0.9606205250596659,0.9559748427672956,0.9575780380865127,0.9541456405943369,0.9663865546218487,0.9685264663805436,0.9693373502743454,0.9698996655518395,0.9679786381842457,0.9645729535213029,0.9595245701888643,0.9611650485436893,0.9649122807017544,0.9630403584162361,0.9557109557109557,0.9583333333333334,0.9692307692307692,0.972972972972973,0.9731696225557072,0.9782371885952449,0.9759775067646418,0.9717948717948718,0.9661016949152542,0.9687222863939002,0.967415163501119,0.9655172413793104,0.968,0.9640235308941213,0.9705458066691449,0.9734513274336283,0.9751003709672805,0.9777070063694268,0.9728514376820183,0.9754080335032078,0.9691119691119691,0.9712230215827338,0.9736842105263158,0.9697933227344993,0.963855421686747,0.9694394076380446,0.9726190476190476,0.9734748010610079,0.9761714056868241,0.9762202753441802,0.9736842105263158,0.968968968968969,0.967276611217162,0.9673469387755103,0.9666110183639399,0.961038961038961,0.9641407307171854,0.9648682006523848,0.9716129032258064,0.9703253643287986,0.9728260869565217,0.9682539682539683,0.9649122807017544,0.9586206896551724,0.9546925566343042,0.9523241277417889,0.9495207772104057
2,12447,Los Angeles,City,CA,0.9617869453041639,0.9514580889159501,0.966243419015175,0.970873786407767,0.9683544303797469,0.9689922480620154,0.969811320754717,0.9625091666666666,0.96045197740113,0.9509178719413892,0.95,0.9456608695652174,0.9437751004016064,0.9377930603313536,0.9408424352417093,0.954607442041691,0.9507106374211144,0.9523809523809523,0.95119774718398,0.948509485094851,0.9391655085649688,0.945179584120983,0.9439622418879056,0.9468224681337308,0.9403599660288786,0.95,0.9411764705882353,0.9565217391304348,0.9682044365193669,0.9765556500687038,0.9797101449275363,0.9722640957627695,0.9831460674157303,0.9819045278404159,0.9879677909707887,0.9844559585492227,0.9929411764705882,0.996266562830626,1,1,1.0020026702269693,1.001669449081803,1.0007698229407236,1.000250062515629,1,1,0.9850247925647222,0.9827586206896551,0.9784735812133072,0.9785226771206237,0.9899774486315991,0.9882794485600745,0.9906298167912122,0.9881481481481481,0.9874957280312562,0.9842725811106072,0.9830976198689203,0.9777777777777777,0.9733333333333334,0.9747102212855637,0.9696969696969697,0.9793103448275862,0.9846787278404245,0.9933054393305439,0.9967273792405602,1,0.9922958397534669,0.996415770609319,0.9936575052854123,0.9870687252661501,0.9849906191369606,0.9836065573770492,0.9805219837151063,0.984560758802205,0.9935064935064936,0.9975563909774436,1,1,1,0.9947378891977781,0.9890802359680426,0.987332939803127,0.9859154929577465,0.9819639278557114,0.9815100154083205,0.9831220623842758,0.992375498226096,1,1,1,1,1,0.9961364955634795,0.9961524106976242,0.9992682331896903,0.9909706882469229,0.9908925318761385,1,1,1,1.0000062500390627,1,1,1,0.9907529722589168,0.9848484848484849,0.979765708200213,0.9724573011232497,0.9691833590138675
3,17426,Chicago,City,IL,0.9013333333333333,0.8882217113924431,0.9026662810873337,0.8913793103448275,0.9075306146121597,0.920935412026726,0.9252313078269567,0.9162820850666721,0.9152830991911451,0.9109697933227345,0.9000022500056251,0.9041591320072333,0.8913938157636944,0.8989775505667926,0.8888033859176606,0.8902867271103001,0.9145720382057627,0.9202510460251045,0.92,0.9115686362723223,0.9074508451190065,0.8976660682226212,0.8911521323997453,0.8949339641237926,0.8979963570127505,0.8965350705186863,0.8843537414965986,0.9018821957640772,0.9216906693851104,0.9283083314101085,0.9318181818181818,0.9319512812031832,0.9306829281346589,0.9343715239154616,0.9342332908395556,0.9336283185840708,0.9351145038167938,0.931053650495486,0.9441591441625453,0.9509433962264151,0.9552388097024256,0.9669305536360091,0.9699624530663329,0.9652413103275819,0.9661016949152542,0.9619143048000763,0.960257477134465,0.9571428571428572,0.9533872664807197,0.9499749874937469,0.9523809523809523,0.9605026929982047,0.9664708692841686,0.9720257126886529,0.9698996655518395,0.964072651936698,0.9588686227861486,0.9528346831824679,0.9499562046354841,0.9410252532889762,0.9357857373346241,0.9347826086956522,0.9473684210526315,0.9595959595959596,0.9703556154432011,0.972574054832767,0.9675431706952191,0.9663686675180928,0.9595959595959596,0.9558232931726908,0.9517638573862508,0.9454545454545454,0.9372717053695268,0.9472759226713533,0.9565363087347178,0.9690852054240032,0.9731096072432867,0.9754877438719359,0.9720759233926128,0.9714285714285714,0.964989903577109,0.9631373716221363,0.9581564584596726,0.953114450358786,0.9499035152776264,0.95,0.9633197480548351,0.9699597673056986,0.9762845849802372,0.9761427975445498,0.9755599800895969,0.9680628777959824,0.9655172413793104,0.9603841536614646,0.9566207784490444,0.9500009500019,0.9484206496253881,0.9474663814180929,0.9696969696969697,0.9743242774365914,0.9733333333333334,0.972972972972973,0.9688581314878892,0.9666663333333334,0.9616005162955792,0.9547841949473395,0.9504752376188094,0.9426702577914583,0.9354838709677419
4,39051,Houston,City,TX,0.9280871685024177,0.9294731818181818,0.9422975040257648,0.9452853961827646,0.9514631785714286,0.9552,0.9259803921568628,0.927536231884058,0.9329757575757576,0.9169622019635344,0.9117058823529411,0.9007707066554145,0.8913272688172043,0.898993288590604,0.8882798561382101,0.9137070227845135,0.9078931302342517,0.8917475762475533,0.9059031847133758,0.906,0.8952075775042103,0.9077260273972603,0.9009157175398633,0.9074341610233259,0.8951130107057262,0.9235547041294168,0.9092562284051646,0.9148830769230769,0.9156410256410257,0.9287750556792873,0.9307958477508651,0.949257525083612,0.9410007468259896,0.9290856064073226,0.9259259259259259,0.9183209352209352,0.9230769230769231,0.92076254180602,0.9348560700876095,0.9301200480192077,0.9297871271284808,0.9402809364548494,0.9402366863905326,0.9398624338624338,0.9406794750430293,0.9397806646063045,0.9323557046979866,0.9205546783625731,0.9269785714285714,0.9383189189189189,0.9335923681257015,0.9438670520231214,0.9518451722777956,0.9521061331563421,0.9557028571428572,0.9888169511477339,0.9576417510598771,0.9416714285714286,0.9418510638297872,0.9542783777826758,0.9712330516314673,0.9592529711375212,0.9557570831701266,0.961686413294353,0.9653333333333334,0.9645457697642164,0.9546238095238095,0.9594893079099591,0.9507478260869565,0.9463856041131106,0.9438202247191011,0.9437776122496861,0.9430265569917744,0.9384615384615385,0.9481558715113217,0.949685534591195,0.9568829876578131,0.9625068021252992,0.9626790697674419,0.9630890868596882,0.93889114609785,0.9295477855477855,0.9485778935268339,0.9380863039399625,0.9343979801357724,0.9370144230769231,0.9407640449438203,0.9454867307692307,0.952273409706583,0.9552019574509762,0.9534372537692206,0.949723849372385,0.9414390132480585,0.9504592096296609,0.9498997436591233,0.9409787169606704,0.9448631808981667,0.9417373754152825,0.941972972972973,0.9517074853397723,0.9597954925997063,0.9530867337807606,0.9545741133676872,0.9502459016393443,0.9480884676145339,0.9477739278668378,0.9317689859026831,0.9200214899713468,0.9384814838268447
5,6915,San Antonio,City,TX,0.9918181818181818,0.996091861372616,0.9840060021875854,1,0.994395688991532,0.9937857142857143,0.9886488335824796,0.9852266943917445,0.9841153393487643,0.9678936282253818,0.9731921131931776,0.9487866666666667,0.9710587693798449,0.9629046746834435,0.98406994951113,0.9718327272727273,0.9757497988351407,0.9810558139534884,0.9768776623376623,0.981048162970374,0.9760635451505016,0.9642207398423287,0.9577305555555555,0.9774507936507937,0.96916,0.9551111111111111,0.9883618995300006,0.9793391304347826,0.9935174069627851,0.9953686868686868,0.9894,0.9961631805926328,0.9958735987427972,0.991164399894021,0.9926219024780176,0.9820401775804661,0.9949244444444444,0.9841770833333333,0.9935220883534136,1,1.0025705129319333,1.002143947368421,0.9991401869158878,0.9864188706218727,1,0.9824121929026388,0.9885714285714285,0.9969,0.9920212765957447,0.9986544124851284,0.984044426946269,0.9903559043056342,0.9999415631848064,0.9976521404919583,0.9974620689655173,0.9913560577991849,0.9888757349338559,0.9892615384615384,0.9808152373941847,0.9847801895209576,0.9844192634560907,0.9805555555555555,1,1,1.006822910216718,1,1,0.9959018222387505,1,1,0.9943497235124972,0.994283396430503,0.9931030303030303,0.9857931034482759,1,1,1,1,1.0005265929436546,1,0.9979865188084366,0.9930275229357798,0.9945750452079566,0.9841403014441812,0.985211780350097,0.9882005899705014,0.9904607326248319,0.9931352734987546,1,1,1,1,0.9912551724137931,0.9923462786083141,0.9875,0.9779928315412186,0.981610305958132,0.9840913637879293,0.9914473684210526,1,1,1,1,0.99581589958159,0.9908656814449919,0.9887777777777778,0.989468141126909,0.985838779956427,0.9907404361370716
6,13271,Philadelphia,City,PA,0.9203681472589036,0.9172413793103448,0.9212283044058746,0.926407839741276,0.9394023615813499,0.9445843828715366,0.9340974212034384,0.9308963912275384,0.9282934963868816,0.8992049243395742,0.906725254433743,0.909004341033616,0.91097528396563765,0.9022663942300275,0.9090909090909091,0.9041968552920272,0.9121610504337025,0.9181969949916527,0.9174311926605505,0.9118541033434651,0.9026094849103699,0.900225056264066,0.8846520495710201,0.8953652789269229,0.8831322519794433,0.8879083481735113,0.8958617553433379,0.8998998998998999,0.9050955414012739,0.9162296942188246,0.9268462991867248,0.9242894673990925,0.9117647058823529,0.9074494189545812,0.9123013537374927,0.91324200913242,0.9090495679854479,0.8950805741918619,0.9169054441260746,0.9181818181818182,0.9345794392523364,0.9408181026979983,0.9431245500359972,0.9287301587301587,0.9297513748614683,0.9277369230557959,0.9088264175157501,0.9127853881278539,0.921217173822426,0.9113652609006433,0.9167431319440607,0.9215196789400565,0.931863019735417,0.9446220298358621,0.9403703703703703,0.9292193539000677,0.9236746736633643,0.9259293552939085,0.9230769230769231,0.9188750676041103,0.9130875822536847,0.9187277216934957,0.9201840736294518,0.9183716075156576,0.9480960777813099,0.9498997995991983,0.9487179241961216,0.9473406910321114,0.9374609130706691,0.9365687526607067,0.9310344827586207,0.9333333333333333,0.9312445604873804,0.9277360729761028,0.9318323952470294,0.9455607359898179,0.958904109589041,0.9619084263178146,0.9642148392181434,0.9611451942740287,0.9562088726692137,0.9528346831824679,0.9523809523809523,0.9478260869565217,0.9465723347157844,0.9401907609597248,0.9488888888888889,0.9606404269513009,0.9634662515786857,0.9719839908519153,0.9688405081621907,0.9648275862068966,0.9612813119931243,0.9609480227791762,0.9583333333333334,0.9502262982372558,0.9466666666666667,0.9475972540045766,0.9517241379310345,0.96,0.9715925516421215,0.9754877438719359,0.9762609185686109,0.9727626459143969,0.9729848112778536,0.9593017734135412,0.9599809433063363,0.955,0.9454380065053201
7,40326,Phoenix,City,AZ,0.9386733416770964,0.9408650417200429,0.9346733668341709,0.9218436873747495,0.9441986234021632,0.9375,0.9312601205171087,0.9202067329999484,0.9181818181818182,0.9118541033434651,0.9184763260946956,0.9001800360072014,0.9136756821930613,0.8928736175335561,0.8990318118948825,0.9191176470588235,0.9310344827586207,0.9464575446187128,0.9565701020457513,0.9607509627727856,0.9520440881763527,0.9680173092053501,0.9655172413793104,0.9606986899563319,0.967741935483871,0.9682451253481894,0.9745792937305364,0.9780621572212066,1,1,0.9972677595628415,1,0.9879160708941576,0.9961538461538462,0.9838699733524531,0.9797874114214256,0.9715717531006827,0.9677211103938025,0.971719909361532,0.9765323078383896,0.9807321772639692,0.9795748228428511,0.979374538904485,0.9761904761904762,0.976,0.9703503028202847,0.9625,0.9577223835817561,0.9567567567567568,0.9610682709565911,0.9554503384489514,0.9569377990430622,0.9579951937609577,0.9598997493734336,0.9609714312355254,0.9555555555555556,0.9602560725549578,0.9563899454417155,0.9522893420546364,0.9578392911767389,0.9557109557109557,0.9622837267589279,0.9672867228946282,0.9686340827259927,0.9727626459143969,0.9701403404001194,0.9733333333333334,0.9736461195447366,0.9714285714285714,0.9711595055915244,0.9691953338141679,0.9676944971537003,0.9646085785728025,0.9694323144104804,0.9702380952380952,0.9742044900724405,0.9734513274336283,0.9733333333333334,0.9727035114070465,0.9714563273236378,0.9709005048037779,0.969631093544137,0.9705448551101856,0.968421052631579,0.967779013718947,0.9706685476415674,0.9736842105263158,0.9759197216674184,0.9763609585846174,0.9771428571428571,0.9767441860465116,0.9772727272727273,0.9733333333333334,0.975,0.971567366766681,0.9687033582089553,0.9720930232558139,0.9742120343839542,0.9784368486869529,0.9815678419242856,0.9826589595375722,0.9811277853569804,0.9824561403508771,0.9775280898876404,0.9736841412738737,0.9743589743589743,0.9723055889022276,0.972692562150282,0.9688105544443055
8,18959,Las Vegas,City,NV,0.9765625,0.9656763300831097,0.966183574879227,0.967516325710577,0.968421052631579,0.96875,0.9644364074743822,0.9631656626506024,0.9631221674031647,0.9523809523809523,0.9450778303380034,0.9333333333333333,0.9337349842162457,0.9298998569384835,0.9359605911330049,0.9408411943432544,0.9450147182422555,0.95,0.950950950950951,0.9578947368421052,0.944206008583691,0.9493403693931398,0.9506337558372249,0.9485634314051277,0.949125043827495,0.9485714285714286,0.9604253733218315,0.9727272727272728,0.9879839786381842,0.9896606999732834,1,1,1,0.993573596514773,0.9990272662739126,1,1,1,1,1,1,1,1,1,0.9924937447873228,0.983142053427785,0.9755342211210901,0.9676113360323887,0.9659477427334571,0.9689013908423191,0.9648732770120053,0.9736842105263158,0.9754877438719359,0.975728761922896,0.970886075949367,0.9762875138940348,0.9636363636363636,0.964509394572025,0.9637096774193549,0.9591581419890725,0.9594008124158877,0.960960960960961,0.9680232558139535,0.9676375404530745,0.9714285714285714,0.9728220009233002,0.974025974025974,0.9736123748862603,0.9724022967216152,0.9683666881859264,0.9636363636363636,0.9609013927576602,0.9662921348314607,0.9677666013039044,0.9684261496113138,0.9755788955973176,0.9736842105263158,0.9730806656948681,0.974910394265233,0.9746581940477599,0.9739130434782609,0.9692307692307692,0.9710743801652892,0.9704142011834319,0.9714285714285714,0.9726027397260274,0.9795833297887725,0.9827456864216054,0.985125343088916,0.9870390368770499,0.9902439024390244,0.9907664108862664,0.985516501008755,0.9840909090909091,0.9821428571428571,0.9831967213114754,0.9819819819819819,0.9861111111111112,0.9910741766697445,0.9929532458060794,0.9926894959599846,0.9957805907172996,0.992155777039498,0.9878787878787879,0.9827586206896551,0.979870336603861,0.9732360097323601,0.96875,0.9693679720822024
9,54296,San Diego,City,CA,0.9550561797752809,0.9565217391304348,0.9710945112049366,0.9669421487603306,0.9760860895758977,0.9593089338486019,0.9634340222575517,0.9631413224671236,0.9548254620123203,0.9446129178430758,0.9398496240601504,0.9419141522315945,0.9404388714733543,0.9413333333333334,0.9459459459459459,0.9354181889834892,0.9523809523809523,0.9390651085141903,0.9360100376411543,0.9412780656303973,0.9429732868757259,0.9382716049382716,0.9383561643835616,0.9343356678748146,0.9355692850838482,0.9375455672207641,0.9480968858131488,0.9596731078624696,0.9642857142857143,0.9704518170904726,0.970873786407767,0.9712230215827338,0.9761048304213772,0.9675675675675676,0.9701492537313433,0.9774436090225563,0.9843864357160284,0.9892086330935251,0.98952128070525,1,1,1,1,0.9868851049191607,0.9774328648142219,0.9711701434159061,0.9666747222893524,0.9619238476953907,0.9612539578556611,0.9712230215827338,0.9711111111111111,0.9735744089012517,0.9749727458021715,0.9742857142857143,0.9716582869049237,0.9672955974842767,0.960763197838379,0.9599554565701559,0.953757225433526,0.9531585751679543,0.9564102564102565,0.9619047619047619,0.9698962866049761,0.9758793726212698,0.9769585253456221,0.983510011778563,0.9816699388997964,0.9746968827946806,0.9784969338047442,0.9692307692307692,0.9716570154624177,0.9696969696969697,0.9716170197184131,0.9738550922761449,0.9830617746773956,0.988062590740442,0.98670594010800206,0.9888682745825603,0.9869375907111756,0.981792681371924,0.9791491006183248,0.97708082026538,0.9775976827314187,0.9761904761904762,0.978494623655914,0.9848484848484849,0.9936034115138592,0.99569210821938825,1,1,0.991652754590985,0.986232790988736,0.9893039631898721,0.9823095780377975,0.9839177820405055,0.9783783783783784,0.9836731973877115,0.9922209874583268,0.9929701230228472,0.9924554183813443,0.9911111111111112,0.9916434540389972,0.9878030638568351,0.9815476866038664,0.9750609451181398,0.9678942398489141,0.9634295845997973,0.9567382872622052,0.9620520239589301
10,38128,Dallas,City,TX,0.9496086826033119,0.9105240174672489,0.9524688018439111,0.9351955555555556,0.951153488372093,0.9346847004250307,0.9283598366013072,0.8947808827571044,0.9519844357976653,0.9289475982532751,0.9078670828883595,0.8906035182679296,0.8708009313154831,0.9315438416152702,0.9025548141086749,0.9174481074481075,0.9112852142023671,0.9192879499217528,0.9401290322580645,0.9235689001103823,0.9070433815350389,0.9258255897069335,0.9161716002747253,0.9259778956875141,0.9293914695734786,0.9573115410273516,0.9472702731362015,0.9454581831132399,0.9536519159852493,0.929484,0.9500275862068965,0.9354120267260579,0.9624269068484258,0.9473684210526315,0.9510456062291435,0.9369942857142857,0.9489351351351352,0.9604835504502383,0.9434644351464435,0.9514172868520695,0.9574795051644365,0.9515643003612928,0.9484723618090453,0.9556888888888889,0.9366733524355301,0.9442021010505253,0.9437278305712405,0.920512417046454,0.932019305019305,0.9379601154514456,0.9463173076923077,0.9456532134968665,0.9384276923076923,0.9442401839824703,0.9385838563834819,0.9401197604790419,0.9529950727713765,0.9345910780669145,0.9320624701768865,0.9397166666666666,0.9386206797315031,0.928313446969697,0.952669551961824,0.9545741133676872,0.9521984306998317,0.9498893142201726,0.9506007635851434,0.9574451612903225,0.9481481481481482,0.9424229390681004,0.9314285714285714,0.9347978499649451,0.9321543408360129,0.9548059701492537,0.9441833333333334,0.9498769230769231,0.9576217119932766,0.9485605149607413,0.9644638814394189,0.9469638739431206,0.953749678974942,0.9642030769230769,0.9442501786990708,0.9459459459459459,0.9600503597122302,0.932539213457604,0.9533541202672606,0.9507884048550708,0.9612676056338029,0.9619653581688385,0.9676487804878049,0.9516368834882059,0.9603403403403403,0.950950950950951,0.9445258166491044,0.9527888846473804,0.9504132231404959,0.9391719197707736,0.9514598662207358,0.9615686274509804,0.9595390476190476,0.9587096774193549,0.9491291139240506,0.9511492537313433,0.947744,0.95984,0.9328098877477908,0.9491525423728814,0.9671252149802746
